2016 World Championship,2016-10-29,World,Staples Center,Acer
2016 LPL Spring Season,2016-01-14,LPL,Shanghai Electric Industrial Park,Tencent Games
2016 LPL Summer Season,2016-05-26,LPL,Shanghai Electric Industrial Park,Tencent Games
2016 NA LCS Spring Season,2016-1-16,NA,NA LCS Studio,Riot Games
2016 NA LCS Summer Season,2016-06-03,NA,NA LCS Studio,Riot Games
2016 EU LCS Spring Season,2016-01-14,EU,EU LCS Studio,Riot Games
2016 EU LCS Summer Season,2016-06-02,EU,EU LCS Studio,Riot Games
2016 LCK Spring Season,2016-01-13,LCK,"Seoul OGN e-Stadium, Nexon Arena",OnGameNet
2016 LCK Summer Season,2016-05-25,LCK,"Seoul OGN e-Stadium, Nexon Arena",OnGameNet
2016 LMS Spring Season,2016-01-14,LMS,Garena e-Sports Stadim,"Garena Taiwan, Riot Games, ASUS, NVIDIA"
2016 LMS Summer Season,2016-06-09,LMS,Garena e-Sports Stadim,"Garena Taiwan, Riot Games, ASUS, NVIDIA"
2016 GPL Spring Season,2016-04-06,GPL,,Garena
2016 GPL Summer Season,2016-08-08,GPL,,"Garena, Mountain Dew, Sony"
2016 CBLOL Summer Season,2016-01-16,CBLOL,,Riot Games
2016 CBLOL Winter Season,2016-05-19,CBLOL,,Riot Games
2016 LJL Spring Season,2016-01-17,LJL,,Riot Games
2016 LJL Summer Season,2016-05-25,LJL,,Riot Games
2016 LAN Opening Cup,2016-02-01,LAN,,Riot Games
2016 LAN Closing Cup,2016-05-30,LAN,,Riot Games
2016 LAS Opening Cup,2016-02-04,LAS,,Riot Games
2016 LAS Closing Cup,2016-05-25,LAS,,Riot Games
2016 TCL Winter Season,2016-01-16,TCL,,"Riot Games Turkey, Coca Cola Zero, Turkcell Gnctrkcll, Teknosa"
2016 TCL Summer Season,2016-06-11,TCL,,"Riot Games Turkey, Coca Cola Zero, Turkcell Gnctrkcll, Teknosa"
2016 OPL Split 1,2016-01-18,OPL,,Riot Games
2016 OPL Split 2,2016-05-23,OPL,,Riot Games
2016 LCL Spring Season,2016-01-16,LCL,,Riot Games
2016 LCL Summer Season,2016-05-28,LCL,,Riot Games